Date,"Net
Sales",Actual,Overtime,Actual,"Actual
Labor"
09/24/24,"$2,910.82",35.81h,0.00h,$634.97,21.81%
09/25/24,"$4,612.95",39.98h,0.00h,$703.44,15.25%
09/26/24,"$3,631.29",34.65h,0.00h,$590.26,16.25%
09/27/24,"$4,427.57",43.10h,0.00h,$756.18,17.08%
09/28/24,"$3,266.80",36.61h,0.00h,$629.50,19.27%
09/29/24,"$2,529.57",36.43h,1.66h,$644.90,25.49%
09/30/24,"$2,956.57",32.38h,2.63h,$581.64,19.67%
10/1/24,"$2,767.48",35.71h,0.00h,$642.59,23.22%
10/2/24,"$4,768.30",39.03h,0.00h,$703.41,14.75%
10/3/24,"$2,937.15",39.28h,0.00h,$688.81,23.45%
10/4/24,"$3,795.08",41.55h,0.00h,$746.03,19.66%
10/5/24,"$3,195.24",30.58h,0.00h,$544.13,17.03%
10/6/24,"$1,780.83",32.40h,1.63h,$586.86,32.95%
10/7/24,"$2,603.58",34.00h,0.00h,$599.03,23.01%
10/8/24,"$2,728.10",34.26h,0.00h,$620.99,22.76%
10/9/24,"$3,898.01",38.53h,0.00h,$695.74,17.85%
10/10/24,"$3,217.35",40.55h,0.00h,$713.33,22.17%
10/11/24,"$3,420.91",41.09h,0.00h,$742.22,21.70%
10/12/24,"$3,118.64",35.00h,0.00h,$619.47,19.86%
10/13/24,"$1,315.45",35.80h,1.30h,$647.54,49.23%
10/14/24,"$1,284.56",25.03h,0.00h,$446.54,34.76%
10/15/24,"$3,275.98",35.43h,0.00h,$642.25,19.60%
10/16/24,"$4,934.70",50.56h,0.00h,$904.51,18.33%
10/17/24,"$3,141.31",38.71h,0.00h,$681.93,21.71%
10/18/24,"$4,147.30",48.28h,0.00h,$866.51,20.89%
10/19/24,"$3,467.58",36.61h,0.15h,$668.41,19.28%
10/20/24,"$1,388.62",29.80h,0.00h,$531.56,38.28%
10/21/24,"$2,761.05",28.49h,0.00h,$490.20,17.75%
10/22/24,"$2,384.08",37.10h,0.00h,$657.62,27.58%
10/23/24,"$4,300.76",50.65h,0.00h,$905.65,21.06%
10/24/24,"$3,287.82",39.81h,0.00h,$700.98,21.32%
10/25/24,"$3,284.21",49.06h,0.00h,$872.91,26.58%
10/26/24,"$2,772.56",36.30h,0.00h,$644.03,23.23%
10/27/24,"$1,895.10",30.95h,0.00h,$563.41,29.73%
10/28/24,"$3,585.55",32.46h,0.00h,$579.69,16.17%
10/29/24,"$3,284.45",35.48h,0.00h,$640.45,19.50%
10/30/24,"$4,927.29",42.68h,0.00h,$759.95,15.42%
10/31/24,"$3,099.37",38.90h,0.00h,$686.91,22.16%
11/1/24,"$3,523.29",43.36h,0.00h,$761.97,21.63%
11/2/24,"$3,140.68",38.19h,1.58h,$686.76,21.87%
11/3/24,"$2,911.84",36.46h,0.00h,$664.39,22.82%
11/4/24,"$2,343.27",36.30h,0.00h,$656.89,28.03%
11/5/24,"$2,406.78",34.85h,0.00h,$633.02,26.30%
11/6/24,"$4,474.10",42.93h,0.00h,$770.75,17.23%
11/7/24,"$2,876.47",34.88h,0.00h,$629.09,21.87%
11/8/24,"$2,747.94",40.91h,0.00h,$733.10,26.68%
11/9/24,"$3,037.32",36.58h,0.00h,$659.80,21.72%
11/10/24,"$1,936.91",35.31h,0.00h,$642.28,33.16%
11/11/24,"$2,342.29",33.85h,0.00h,$612.72,26.16%
11/12/24,"$2,305.66",36.71h,0.00h,$664.46,28.82%
11/13/24,"$4,318.78",42.15h,0.00h,$755.31,17.49%
11/14/24,"$2,474.08",38.58h,0.00h,$694.37,28.07%
11/15/24,"$3,405.20",36.91h,0.00h,$664.70,19.52%
11/16/24,"$2,771.37",32.18h,0.00h,$569.82,20.56%
11/17/24,"$2,656.12",35.53h,0.00h,$647.37,24.37%
11/18/24,"$3,030.37",37.60h,0.11h,$663.92,21.91%
11/19/24,"$2,689.74",34.35h,0.00h,$622.92,23.16%
11/20/24,"$3,881.26",33.43h,0.00h,$606.15,15.62%
11/21/24,"$3,154.47",31.80h,0.00h,$577.59,18.31%
11/22/24,"$3,618.90",38.46h,0.00h,$694.03,19.18%
11/23/24,"$3,050.22",36.34h,0.00h,$660.62,21.66%
11/24/24,"$2,120.32",35.44h,0.00h,$645.84,30.46%
11/25/24,"$2,531.59",34.19h,0.00h,$617.71,24.40%
11/26/24,"$2,468.56",35.78h,0.00h,$649.14,26.30%
11/27/24,"$4,108.65",36.76h,0.00h,$662.65,16.13%
11/28/24,"$2,933.98",37.93h,0.00h,$669.69,22.83%
11/29/24,"$4,087.51",39.31h,0.00h,$691.75,16.92%
11/30/24,"$3,367.58",37.33h,0.33h,$663.67,19.71%
12/1/24,"$2,589.08",27.61h,0.00h,$510.34,19.71%
12/2/24,"$3,226.35",30.53h,0.00h,$546.94,16.95%
12/3/24,"$2,514.25",37.23h,0.00h,$677.05,26.93%
12/4/24,"$3,799.10",39.06h,0.00h,$702.15,18.48%
12/5/24,"$3,699.86",30.60h,0.00h,$543.89,14.70%
12/6/24,"$3,136.50",35.41h,0.00h,$627.70,20.01%
12/7/24,"$3,197.23",36.70h,0.10h,$649.50,20.31%
12/8/24,"$2,328.16",36.15h,1.66h,$661.19,28.40%
12/9/24,"$1,866.82",25.28h,0.00h,$451.41,24.18%
12/10/24,"$2,856.19",35.81h,0.00h,$651.78,22.82%
12/11/24,"$4,116.67",39.08h,0.00h,$704.23,17.11%
12/12/24,"$3,369.52",33.13h,0.00h,$586.96,17.42%
12/13/24,"$4,488.61",37.03h,0.00h,$654.44,14.58%
12/14/24,"$3,388.64",37.40h,0.63h,$666.86,19.68%
12/15/24,"$2,634.20",36.10h,0.00h,$657.55,24.96%
12/16/24,"$3,205.58",31.00h,2.80h,$580.91,18.12%
12/17/24,"$2,918.66",34.39h,0.00h,$622.31,21.32%
12/18/24,"$3,897.26",43.61h,0.00h,$783.37,20.10%
12/19/24,"$3,374.05",32.56h,0.00h,$577.41,17.11%
12/20/24,"$4,255.06",45.38h,0.00h,$799.66,18.79%
12/21/24,"$2,919.93",37.36h,0.00h,$659.47,22.59%
12/22/24,"$3,468.30",36.03h,0.00h,$656.44,18.93%
12/23/24,"$3,728.73",34.58h,3.66h,$656.97,17.62%
12/24/24,"$1,591.93",22.20h,0.00h,$395.11,24.82%
12/25/24,$0.00,0.00h,0.00h,$0.00,0.00%
12/26/24,"$2,482.46",24.45h,0.00h,$431.04,17.36%
12/27/24,"$2,795.46",42.26h,0.00h,$756.89,27.08%
12/28/24,"$2,088.84",37.81h,0.00h,$668.71,32.01%
12/29/24,"$2,288.87",36.16h,0.00h,$658.63,28.78%
12/30/24,"$3,288.78",33.35h,0.00h,$595.49,18.11%
12/31/24,"$2,375.44",29.15h,0.00h,$530.45,22.33%
